IPAddress,Day,Month,Year,HH,RequestType,API,StatusCode,Bytes,Refferer,UserAgent,ResponseTime,Browser,Os,Device
78.47.158.36,27,12,2037,12,POST,/usr/login,500,5052,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,3479,Mozilla,Windows,Others
115.49.32.34,27,12,2037,12,POST,/usr/register,200,5049,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",1371,Chrome,Linux,Mobile
230.109.93.154,27,12,2037,12,POST,/usr/admin/developer,500,5040,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",4549,Chrome,Linux,Mobile
139.120.218.14,27,12,2037,12,POST,/usr/login,303,5046,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",271,Opera,Windows,Others
150.181.9.143,27,12,2037,12,POST,/usr/admin/developer,403,4967,-,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,3753,Mozilla,Linux,Mobile
154.240.202.29,27,12,2037,12,POST,/usr/register,200,5030,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",4960,Opera,Windows,Others
117.173.172.66,27,12,2037,12,POST,/usr/register,500,5029,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",4109,Others,Windows,Others
154.174.187.88,27,12,2037,12,POST,/usr/admin,200,5073,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",3051,Opera,Linux,Mobile
227.199.161.41,27,12,2037,12,POST,/usr,200,4978,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",3180,Chrome,Linux,Mobile
43.180.142.33,27,12,2037,12,POST,/usr,200,4949,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",2347,Others,Linux,Mobile
74.134.247.13,27,12,2037,12,POST,/usr/admin,403,5017,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",4430,Chrome,Linux,Mobile
153.170.92.65,27,12,2037,12,POST,/usr,303,4951,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",3199,Others,Windows,Others
12.239.123.230,27,12,2037,12,POST,/usr/admin/developer,303,4953,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",4274,Opera,Linux,Mobile
42.212.26.145,27,12,2037,12,POST,/usr,200,4986,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",2690,Opera,Linux,Mobile
172.96.99.196,27,12,2037,12,POST,/usr/login,502,5051,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,1431,Mozilla,Windows,Others
48.126.148.168,27,12,2037,12,POST,/usr/admin,500,4930,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",4414,Others,Windows,Others
158.20.25.75,27,12,2037,12,POST,/usr,403,4934,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",3884,Opera,Windows,Others
205.194.40.153,27,12,2037,12,POST,/usr,200,4976,http://www.lewis.com/main/list/explore/category.html,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,4309,Mozilla,Linux,Mobile
135.96.114.128,27,12,2037,12,POST,/usr,502,4971,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",485,Others,Windows,Others
108.14.71.4,27,12,2037,12,POST,/usr/login,404,4899,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",307,Chrome,Linux,Mobile
32.187.211.116,27,12,2037,12,POST,/usr/login,403,4962,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",3979,Chrome,Linux,Mobile
170.75.92.198,27,12,2037,12,POST,/usr/register,502,5019,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",3602,Opera,Linux,Mobile
236.138.70.109,27,12,2037,12,POST,/usr/admin,403,4936,http://www.lewis.com/main/list/explore/category.html,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,3799,Mozilla,Linux,Mobile
121.177.113.9,27,12,2037,12,POST,/usr/admin/developer,304,4954,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",1181,Opera,Windows,Others
202.50.63.232,27,12,2037,12,POST,/usr/admin,502,4973,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",4154,Others,Linux,Mobile
65.74.111.74,27,12,2037,12,POST,/usr/admin,502,5044,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",1610,Chrome,Windows,Others
4.203.255.0,27,12,2037,12,POST,/usr/admin/developer,404,4979,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",4836,Others,Linux,Mobile
184.211.128.89,27,12,2037,12,POST,/usr/login,500,4938,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",4457,Opera,Windows,Others
7.152.110.145,27,12,2037,12,POST,/usr,403,4943,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",558,Safari,iOS,Mobile
209.84.77.175,27,12,2037,12,POST,/usr,500,5116,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",362,Safari,Mac OS,Others
120.10.208.17,27,12,2037,12,POST,/usr,404,4950,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",1563,Others,Windows,Others
96.99.131.45,27,12,2037,12,POST,/usr/login,502,4994,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",2513,Others,Linux,Mobile
175.18.171.21,27,12,2037,12,POST,/usr/admin,200,4948,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",2704,Opera,Linux,Mobile
158.168.9.245,27,12,2037,12,POST,/usr/admin,500,5089,http://www.lewis.com/main/list/explore/category.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,1575,Mozilla,Windows,Others
173.215.208.203,27,12,2037,12,POST,/usr/register,303,5057,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",1450,Opera,Linux,Mobile
67.21.7.163,27,12,2037,12,POST,/usr/register,403,4971,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",3451,Chrome,Linux,Mobile
139.128.123.68,27,12,2037,12,POST,/usr/register,500,4922,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",4580,Others,Linux,Mobile
183.169.61.35,27,12,2037,12,POST,/usr/register,403,4945,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",3819,Others,Windows,Others
85.163.103.27,27,12,2037,12,POST,/usr/login,304,4999,http://www.lewis.com/main/list/explore/category.html,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,2770,Mozilla,Linux,Mobile
191.173.254.60,27,12,2037,12,POST,/usr/admin,304,4980,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",1507,Chrome,Windows,Others
157.132.50.163,27,12,2037,12,POST,/usr/admin/developer,303,4887,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",4984,Safari,iOS,Mobile
65.69.225.13,27,12,2037,12,POST,/usr/admin/developer,303,4917,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",4295,Opera,Linux,Mobile
250.232.68.58,27,12,2037,12,POST,/usr/login,200,5008,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",3852,Others,Linux,Mobile
119.213.52.247,27,12,2037,12,POST,/usr/login,404,4983,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",389,Safari,Mac OS,Others
46.30.199.235,27,12,2037,12,POST,/usr/login,404,5000,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",2075,Others,Linux,Mobile
69.53.106.177,27,12,2037,12,POST,/usr/admin,500,4969,http://www.lewis.com/main/list/explore/category.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,2580,Mozilla,Windows,Others
111.188.165.233,27,12,2037,12,POST,/usr/login,404,4942,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",159,Chrome,Linux,Mobile
116.9.159.137,27,12,2037,12,POST,/usr/register,304,5006,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",4646,Chrome,Windows,Others
139.213.255.210,27,12,2037,12,POST,/usr/register,303,5045,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",2260,Others,Windows,Others
62.21.85.226,27,12,2037,12,POST,/usr,304,4971,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",3815,Chrome,Linux,Mobile
115.227.80.132,27,12,2037,12,POST,/usr/login,500,4999,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",1020,Others,Linux,Mobile
8.15.193.137,27,12,2037,12,POST,/usr/login,303,5069,-,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,1133,Mozilla,Linux,Mobile
21.186.43.137,27,12,2037,12,POST,/usr/admin/developer,200,5031,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",3162,Others,Windows,Others
184.191.242.245,27,12,2037,12,POST,/usr/admin,303,4966,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",2046,Chrome,Linux,Mobile
249.142.108.254,27,12,2037,12,POST,/usr/login,303,4923,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",2642,Others,Linux,Mobile
137.5.209.47,27,12,2037,12,POST,/usr/login,502,4951,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",1379,Safari,Mac OS,Others
107.73.57.130,27,12,2037,12,POST,/usr/admin/developer,304,5051,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",1289,Chrome,Windows,Others
246.159.193.201,27,12,2037,12,POST,/usr/login,502,4954,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",1706,Chrome,Linux,Mobile
64.225.213.213,27,12,2037,12,POST,/usr/admin,304,5062,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",3047,Opera,Linux,Mobile
218.184.160.199,27,12,2037,12,POST,/usr/admin/developer,303,5027,http://www.lewis.com/main/list/explore/category.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,2111,Mozilla,Windows,Others
72.60.184.176,27,12,2037,12,POST,/usr/admin/developer,200,5011,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",4587,Safari,Mac OS,Others
134.156.46.204,27,12,2037,12,POST,/usr/login,403,4903,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",831,Chrome,Linux,Mobile
223.34.117.20,27,12,2037,12,POST,/usr/login,403,5022,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",2400,Others,Linux,Mobile
14.69.73.111,27,12,2037,12,POST,/usr/register,403,4964,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",525,Safari,iOS,Mobile
45.150.177.87,27,12,2037,12,POST,/usr/login,304,4958,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,4541,Mozilla,Windows,Others
29.146.134.77,27,12,2037,12,POST,/usr/admin/developer,304,5006,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",4183,Others,Linux,Mobile
162.194.122.227,27,12,2037,12,POST,/usr/login,404,5079,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",3350,Safari,iOS,Mobile
101.63.18.10,27,12,2037,12,POST,/usr/admin/developer,500,4978,http://www.lewis.com/main/list/explore/category.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,1144,Mozilla,Windows,Others
117.171.246.140,27,12,2037,12,POST,/usr/admin/developer,403,4922,http://www.lewis.com/main/list/explore/category.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,2406,Mozilla,Windows,Others
15.218.85.243,27,12,2037,12,POST,/usr,303,4918,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",3799,Others,Windows,Others
227.41.190.154,27,12,2037,12,POST,/usr/register,403,4922,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",4013,Chrome,Windows,Others
83.5.54.148,27,12,2037,12,POST,/usr/login,200,5025,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",3712,Others,Linux,Mobile
216.109.103.119,27,12,2037,12,POST,/usr/admin,303,5097,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",2208,Safari,iOS,Mobile
178.95.208.64,27,12,2037,12,POST,/usr/admin,303,4944,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",3165,Others,Windows,Others
96.153.127.196,27,12,2037,12,POST,/usr,404,4938,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",2761,Others,Linux,Mobile
122.212.30.156,27,12,2037,12,POST,/usr,200,5010,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",4795,Opera,Windows,Others
