IPAddress,RemoteLogName,UserID,Day,Month,Year,HH,RequestType,API,StatusCode,Bytes,Refferer,UserAgent,ResponseTime,Browser,Os,Device
120.231.52.180,-,-,27,12,2037,12,GET,/usr/admin/developer,500,5076,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",655,Chrome,Windows,Others
197.163.87.6,-,-,27,12,2037,12,DELETE,/usr/admin/developer,404,5102,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",266,Others,Windows,Others
247.115.74.50,-,-,27,12,2037,12,GET,/usr/admin/developer,502,4907,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",3365,Others,Windows,Others
49.47.238.112,-,-,27,12,2037,12,GET,/usr,403,5040,http://www.lewis.com/main/list/explore/category.html,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,3562,Mozilla,Linux,Mobile
233.105.224.37,-,-,27,12,2037,12,PUT,/usr/login,500,4992,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",4774,Safari,Mac OS,Others
214.68.219.18,-,-,27,12,2037,12,GET,/usr/login,404,4923,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,391,Mozilla,Windows,Others
236.95.22.207,-,-,27,12,2037,12,GET,/usr/admin,303,4969,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",1349,Safari,iOS,Mobile
188.240.85.242,-,-,27,12,2037,12,PUT,/usr,403,4930,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",4419,Chrome,Windows,Others
32.13.239.77,-,-,27,12,2037,12,PUT,/usr,200,4986,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",1649,Safari,Mac OS,Others
10.254.208.185,-,-,27,12,2037,12,PUT,/usr/admin/developer,403,4935,http://www.lewis.com/main/list/explore/category.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,2506,Mozilla,Windows,Others
197.174.209.10,-,-,27,12,2037,12,DELETE,/usr,502,4994,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",945,Safari,Mac OS,Others
50.150.165.223,-,-,27,12,2037,12,PUT,/usr,502,5032,http://www.lewis.com/main/list/explore/category.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,1240,Mozilla,Windows,Others
45.16.43.150,-,-,27,12,2037,12,POST,/usr/login,403,4966,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",2386,Opera,Linux,Mobile
105.55.249.89,-,-,27,12,2037,12,POST,/usr/admin/developer,500,5010,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",4333,Chrome,Linux,Mobile
138.236.13.85,-,-,27,12,2037,12,DELETE,/usr/admin/developer,303,5053,-,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,1203,Mozilla,Linux,Mobile
96.146.6.47,-,-,27,12,2037,12,POST,/usr/register,502,4975,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",770,Chrome,Windows,Others
39.143.106.186,-,-,27,12,2037,12,GET,/usr/register,304,5103,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",1193,Safari,iOS,Mobile
199.141.210.208,-,-,27,12,2037,12,POST,/usr/login,403,4939,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",4654,Chrome,Windows,Others
200.126.3.141,-,-,27,12,2037,12,DELETE,/usr/login,502,5020,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",3466,Chrome,Windows,Others
225.40.127.211,-,-,27,12,2037,12,POST,/usr,502,5107,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",3411,Opera,Windows,Others
20.182.58.189,-,-,27,12,2037,12,DELETE,/usr/login,500,4934,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",4546,Chrome,Linux,Mobile
248.237.234.100,-,-,27,12,2037,12,GET,/usr/register,404,5019,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",3011,Safari,Mac OS,Others
175.28.101.45,-,-,27,12,2037,12,POST,/usr/login,200,4999,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",678,Others,Windows,Others
158.14.47.192,-,-,27,12,2037,12,GET,/usr,500,4972,-,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,3768,Mozilla,Linux,Mobile
85.1.0.230,-,-,27,12,2037,12,PUT,/usr/admin/developer,500,5044,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",4596,Chrome,Windows,Others
218.35.138.98,-,-,27,12,2037,12,PUT,/usr/register,304,5045,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",4678,Safari,iOS,Mobile
159.160.65.107,-,-,27,12,2037,12,DELETE,/usr/admin,303,4963,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",4338,Others,Linux,Mobile
19.146.160.165,-,-,27,12,2037,12,DELETE,/usr/login,500,5067,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",2463,Chrome,Linux,Mobile
117.220.99.203,-,-,27,12,2037,12,PUT,/usr/admin/developer,304,5030,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",3285,Opera,Linux,Mobile
40.206.144.58,-,-,27,12,2037,12,GET,/usr/admin/developer,304,4993,-,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,4351,Mozilla,Linux,Mobile
211.181.32.106,-,-,27,12,2037,12,PUT,/usr/register,200,4981,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",1646,Opera,Linux,Mobile
188.229.254.240,-,-,27,12,2037,12,POST,/usr/register,500,4985,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",1635,Safari,iOS,Mobile
17.163.227.117,-,-,27,12,2037,12,GET,/usr,304,4929,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",2682,Chrome,Windows,Others
206.79.40.58,-,-,27,12,2037,12,POST,/usr/admin,502,5007,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",1415,Safari,Mac OS,Others
208.95.154.253,-,-,27,12,2037,12,DELETE,/usr/admin,502,5101,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",3799,Safari,iOS,Mobile
85.166.76.203,-,-,27,12,2037,12,PUT,/usr/admin/developer,404,4967,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",3364,Safari,iOS,Mobile
92.191.63.95,-,-,27,12,2037,12,DELETE,/usr/register,502,4977,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",2541,Chrome,Windows,Others
80.44.137.133,-,-,27,12,2037,12,GET,/usr/register,303,5045,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",756,Safari,iOS,Mobile
230.63.198.146,-,-,27,12,2037,12,DELETE,/usr/admin,303,4959,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",1918,Others,Windows,Others
143.247.163.69,-,-,27,12,2037,12,GET,/usr/register,500,4974,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",1678,Others,Linux,Mobile
40.159.147.128,-,-,27,12,2037,12,POST,/usr/admin,403,4957,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",448,Safari,Mac OS,Others
236.115.127.148,-,-,27,12,2037,12,DELETE,/usr/register,304,4897,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",4937,Safari,iOS,Mobile
150.18.133.116,-,-,27,12,2037,12,POST,/usr/admin,403,4971,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",1575,Chrome,Windows,Others
108.93.244.222,-,-,27,12,2037,12,POST,/usr/register,304,5058,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",830,Safari,Mac OS,Others
245.47.233.5,-,-,27,12,2037,12,PUT,/usr/admin/developer,200,5060,-,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,2173,Mozilla,Linux,Mobile
124.38.27.143,-,-,27,12,2037,12,DELETE,/usr/admin/developer,502,4915,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",3009,Others,Windows,Others
44.196.99.216,-,-,27,12,2037,12,DELETE,/usr/login,303,4964,http://www.lewis.com/main/list/explore/category.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,3701,Mozilla,Windows,Others
119.217.122.240,-,-,27,12,2037,12,GET,/usr,502,4964,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",1213,Opera,Windows,Others
63.37.150.186,-,-,27,12,2037,12,DELETE,/usr,500,5029,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",1081,Others,Linux,Mobile
5.217.148.53,-,-,27,12,2037,12,PUT,/usr/admin,404,4992,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",4598,Chrome,Windows,Others
247.114.72.176,-,-,27,12,2037,12,POST,/usr/login,403,5030,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",3805,Others,Linux,Mobile
78.109.31.87,-,-,27,12,2037,12,DELETE,/usr/admin,404,5033,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",401,Chrome,Linux,Mobile
228.5.4.110,-,-,27,12,2037,12,DELETE,/usr/login,303,5069,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",1794,Opera,Windows,Others
143.217.253.156,-,-,27,12,2037,12,DELETE,/usr,502,5038,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",4573,Safari,Mac OS,Others
231.189.105.13,-,-,27,12,2037,12,GET,/usr/admin/developer,403,5055,http://www.lewis.com/main/list/explore/category.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,4965,Mozilla,Windows,Others
199.231.9.8,-,-,27,12,2037,12,DELETE,/usr,404,5033,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",193,Others,Windows,Others
18.45.2.90,-,-,27,12,2037,12,GET,/usr/admin/developer,404,5042,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",2110,Chrome,Linux,Mobile
35.61.212.43,-,-,27,12,2037,12,GET,/usr,403,5014,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",1715,Safari,iOS,Mobile
182.117.95.42,-,-,27,12,2037,12,POST,/usr/login,500,5012,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",635,Opera,Linux,Mobile
209.82.95.61,-,-,27,12,2037,12,GET,/usr/register,502,5007,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",1446,Safari,Mac OS,Others
119.9.61.31,-,-,27,12,2037,12,GET,/usr/admin/developer,304,4996,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",1946,Safari,iOS,Mobile
122.92.104.60,-,-,27,12,2037,12,POST,/usr/login,502,4959,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",124,Opera,Linux,Mobile
124.59.179.31,-,-,27,12,2037,12,POST,/usr,303,5110,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",2660,Safari,iOS,Mobile
7.163.138.30,-,-,27,12,2037,12,PUT,/usr/login,502,4969,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",1244,Safari,Mac OS,Others
38.217.145.120,-,-,27,12,2037,12,POST,/usr,502,5040,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",3492,Opera,Windows,Others
27.253.168.193,-,-,27,12,2037,12,POST,/usr/register,500,4851,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",2093,Safari,iOS,Mobile
150.252.34.64,-,-,27,12,2037,12,PUT,/usr/admin/developer,404,4993,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",3708,Safari,iOS,Mobile
230.164.183.62,-,-,27,12,2037,12,DELETE,/usr/admin,304,5058,-,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,4399,Mozilla,Linux,Mobile
250.69.58.21,-,-,27,12,2037,12,GET,/usr/login,500,5027,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",2487,Others,Windows,Others
8.14.207.136,-,-,27,12,2037,12,GET,/usr/admin/developer,500,4959,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",4006,Safari,Mac OS,Others
167.166.220.157,-,-,27,12,2037,12,PUT,/usr,200,5075,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",678,Chrome,Windows,Others
185.242.244.88,-,-,27,12,2037,12,POST,/usr/admin,200,5001,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",1577,Others,Windows,Others
24.178.14.80,-,-,27,12,2037,12,DELETE,/usr/register,500,5025,http://www.lewis.com/main/list/explore/category.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,4693,Mozilla,Windows,Others
189.101.2.113,-,-,27,12,2037,12,GET,/usr/admin,403,5015,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",2577,Safari,iOS,Mobile
246.69.244.63,-,-,27,12,2037,12,GET,/usr/admin,502,4991,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",1126,Others,Windows,Others
154.217.115.209,-,-,27,12,2037,12,DELETE,/usr/admin/developer,403,4965,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",2803,Others,Linux,Mobile
112.83.135.224,-,-,27,12,2037,12,POST,/usr/admin,403,4980,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",246,Opera,Windows,Others
34.208.15.34,-,-,27,12,2037,12,GET,/usr,304,5139,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",4712,Chrome,Windows,Others
8.126.3.162,-,-,27,12,2037,12,PUT,/usr/login,200,5035,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",1499,Safari,Mac OS,Others
252.158.113.40,-,-,27,12,2037,12,PUT,/usr/admin,404,4988,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",1201,Safari,iOS,Mobile
136.40.50.141,-,-,27,12,2037,12,DELETE,/usr/register,502,4963,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,163,Mozilla,Windows,Others
49.17.111.77,-,-,27,12,2037,12,GET,/usr/login,403,4929,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",1381,Opera,Windows,Others
66.132.109.244,-,-,27,12,2037,12,GET,/usr/register,404,5082,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",461,Opera,Linux,Mobile
118.247.248.90,-,-,27,12,2037,12,DELETE,/usr/admin,502,5092,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",416,Chrome,Linux,Mobile
230.38.18.134,-,-,27,12,2037,12,POST,/usr,502,5018,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",194,Chrome,Linux,Mobile
78.47.158.36,-,-,27,12,2037,12,POST,/usr/login,500,5052,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,3479,Mozilla,Windows,Others
